age=65.0176261994159,sexFemale=0.475594493116396,Ct=25.8256612432208,wave2=0.487901543596162,wave3=0.153629536921151 
        time       est       lcl       ucl
1   1.466456 0.9999910 0.9999852 0.9999947
2   1.547419 0.9999863 0.9999780 0.9999917
3   1.656441 0.9999768 0.9999638 0.9999856
4   1.767561 0.9999623 0.9999426 0.9999760
5   1.771398 0.9999617 0.9999418 0.9999756
6   1.772558 0.9999615 0.9999415 0.9999755
7   1.787830 0.9999590 0.9999379 0.9999738
8   1.788614 0.9999588 0.9999377 0.9999737
9   1.824134 0.9999524 0.9999285 0.9999694
10  1.860589 0.9999451 0.9999181 0.9999644
11  1.898675 0.9999364 0.9999059 0.9999585
12  1.940648 0.9999257 0.9998909 0.9999510
13  1.987794 0.9999119 0.9998718 0.9999413
14  2.007614 0.9999055 0.9998631 0.9999368
15  2.012377 0.9999039 0.9998609 0.9999357
16  2.016562 0.9999025 0.9998590 0.9999347
17  2.036153 0.9998957 0.9998497 0.9999298
18  2.044925 0.9998925 0.9998453 0.9999275
19  2.053411 0.9998894 0.9998410 0.9999253
20  2.069751 0.9998831 0.9998324 0.9999208
21  2.072396 0.9998821 0.9998310 0.9999200
22  2.078113 0.9998798 0.9998279 0.9999184
23  2.084075 0.9998774 0.9998246 0.9999167
24  2.109359 0.9998668 0.9998102 0.9999090
25  2.110100 0.9998665 0.9998097 0.9999088
26  2.116477 0.9998637 0.9998060 0.9999068
27  2.121818 0.9998613 0.9998028 0.9999051
28  2.151622 0.9998475 0.9997844 0.9998951
29  2.160987 0.9998429 0.9997784 0.9998917
30  2.172926 0.9998369 0.9997705 0.9998874
31  2.182729 0.9998318 0.9997637 0.9998837
32  2.210492 0.9998168 0.9997437 0.9998728
33  2.217442 0.9998129 0.9997385 0.9998700
34  2.218163 0.9998125 0.9997379 0.9998697
35  2.218167 0.9998125 0.9997379 0.9998697
36  2.235842 0.9998023 0.9997243 0.9998622
37  2.240029 0.9997998 0.9997210 0.9998604
38  2.241447 0.9997989 0.9997199 0.9998597
39  2.255747 0.9997902 0.9997083 0.9998533
40  2.256502 0.9997897 0.9997077 0.9998530
41  2.260577 0.9997872 0.9997043 0.9998511
42  2.270271 0.9997810 0.9996961 0.9998466
43  2.283918 0.9997721 0.9996846 0.9998400
44  2.285527 0.9997711 0.9996832 0.9998393
45  2.286892 0.9997701 0.9996820 0.9998386
46  2.294609 0.9997650 0.9996753 0.9998348
47  2.309970 0.9997544 0.9996616 0.9998269
48  2.312142 0.9997528 0.9996596 0.9998258
49  2.319559 0.9997475 0.9996528 0.9998219
50  2.341353 0.9997315 0.9996322 0.9998100
51  2.347407 0.9997269 0.9996263 0.9998066
52  2.347783 0.9997266 0.9996259 0.9998064
53  2.374880 0.9997053 0.9995985 0.9997905
54  2.375168 0.9997051 0.9995982 0.9997903
55  2.399913 0.9996845 0.9995717 0.9997749
56  2.401163 0.9996835 0.9995703 0.9997741
57  2.401596 0.9996831 0.9995699 0.9997738
58  2.408193 0.9996774 0.9995625 0.9997696
59  2.422282 0.9996650 0.9995466 0.9997602
60  2.424766 0.9996628 0.9995437 0.9997586
61  2.442420 0.9996466 0.9995230 0.9997463
62  2.445247 0.9996440 0.9995197 0.9997443
63  2.450019 0.9996395 0.9995139 0.9997408
64  2.458012 0.9996318 0.9995042 0.9997351
65  2.460599 0.9996294 0.9995010 0.9997332
66  2.462117 0.9996279 0.9994991 0.9997321
67  2.464827 0.9996252 0.9994957 0.9997300
68  2.466331 0.9996238 0.9994938 0.9997289
69  2.467261 0.9996229 0.9994926 0.9997282
70  2.470840 0.9996194 0.9994880 0.9997255
71  2.480308 0.9996099 0.9994759 0.9997183
72  2.488789 0.9996013 0.9994648 0.9997116
73  2.499219 0.9995905 0.9994509 0.9997033
74  2.510104 0.9995790 0.9994361 0.9996945
75  2.523739 0.9995643 0.9994171 0.9996830
76  2.524682 0.9995633 0.9994158 0.9996822
77  2.527647 0.9995600 0.9994116 0.9996797
78  2.529291 0.9995582 0.9994093 0.9996783
79  2.536922 0.9995497 0.9993983 0.9996717
80  2.544933 0.9995406 0.9993867 0.9996647
81  2.547422 0.9995378 0.9993830 0.9996624
82  2.566655 0.9995153 0.9993543 0.9996450
83  2.569214 0.9995123 0.9993504 0.9996426
84  2.569854 0.9995115 0.9993494 0.9996420
85  2.572398 0.9995085 0.9993455 0.9996396
86  2.578491 0.9995011 0.9993361 0.9996338
87  2.578800 0.9995007 0.9993356 0.9996335
88  2.578853 0.9995006 0.9993355 0.9996335
89  2.578893 0.9995006 0.9993354 0.9996335
90  2.583507 0.9994950 0.9993282 0.9996291
91  2.585906 0.9994920 0.9993245 0.9996267
92  2.593157 0.9994830 0.9993130 0.9996197
93  2.598787 0.9994759 0.9993040 0.9996142
94  2.598899 0.9994758 0.9993038 0.9996141
95  2.599513 0.9994750 0.9993028 0.9996134
96  2.610262 0.9994613 0.9992853 0.9996027
97  2.614414 0.9994559 0.9992784 0.9995985
98  2.620982 0.9994474 0.9992675 0.9995917
99  2.621839 0.9994462 0.9992661 0.9995908
100 2.634288 0.9994297 0.9992450 0.9995778
101 2.636480 0.9994267 0.9992412 0.9995754
102 2.639281 0.9994229 0.9992364 0.9995724
103 2.639417 0.9994227 0.9992362 0.9995723
104 2.640695 0.9994210 0.9992340 0.9995709
105 2.646547 0.9994130 0.9992238 0.9995646
106 2.653377 0.9994035 0.9992118 0.9995571
107 2.656869 0.9993986 0.9992056 0.9995533
108 2.656950 0.9993985 0.9992054 0.9995532
109 2.658247 0.9993967 0.9992031 0.9995517
110 2.661714 0.9993918 0.9991969 0.9995479
111 2.666229 0.9993854 0.9991888 0.9995428
112 2.669054 0.9993814 0.9991837 0.9995396
113 2.674242 0.9993739 0.9991742 0.9995337
114 2.682728 0.9993615 0.9991587 0.9995239
115 2.682774 0.9993615 0.9991586 0.9995238
116 2.684954 0.9993583 0.9991546 0.9995213
117 2.692245 0.9993475 0.9991411 0.9995127
118 2.693757 0.9993452 0.9991383 0.9995109
119 2.696022 0.9993418 0.9991340 0.9995082
120 2.697207 0.9993400 0.9991318 0.9995068
121 2.697232 0.9993400 0.9991318 0.9995067
122 2.706538 0.9993259 0.9991141 0.9994955
123 2.707255 0.9993248 0.9991127 0.9994946
124 2.731074 0.9992875 0.9990663 0.9994649
125 2.737099 0.9992779 0.9990543 0.9994572
126 2.744729 0.9992655 0.9990389 0.9994473
127 2.745157 0.9992648 0.9990380 0.9994467
128 2.745307 0.9992646 0.9990377 0.9994465
129 2.747924 0.9992603 0.9990324 0.9994431
130 2.751002 0.9992552 0.9990261 0.9994391
131 2.751455 0.9992545 0.9990251 0.9994385
132 2.755387 0.9992480 0.9990170 0.9994332
133 2.769508 0.9992242 0.9989876 0.9994142
134 2.770229 0.9992230 0.9989860 0.9994132
135 2.781973 0.9992028 0.9989610 0.9993969
136 2.783634 0.9991999 0.9989574 0.9993946
137 2.789280 0.9991900 0.9989452 0.9993867
138 2.789931 0.9991889 0.9989438 0.9993857
139 2.792806 0.9991838 0.9989375 0.9993816
140 2.796405 0.9991774 0.9989296 0.9993765
141 2.796537 0.9991772 0.9989293 0.9993763
142 2.797342 0.9991758 0.9989276 0.9993752
143 2.801716 0.9991680 0.9989179 0.9993688
144 2.802497 0.9991665 0.9989162 0.9993677
145 2.804529 0.9991629 0.9989116 0.9993648
146 2.804906 0.9991622 0.9989108 0.9993643
147 2.813354 0.9991469 0.9988919 0.9993521
148 2.815811 0.9991424 0.9988863 0.9993485
149 2.816863 0.9991404 0.9988839 0.9993470
150 2.819215 0.9991361 0.9988786 0.9993435
151 2.822284 0.9991304 0.9988716 0.9993390
152 2.822701 0.9991297 0.9988706 0.9993384
153 2.825872 0.9991238 0.9988633 0.9993337
154 2.826513 0.9991226 0.9988619 0.9993328
155 2.832447 0.9991114 0.9988481 0.9993239
156 2.838585 0.9990998 0.9988338 0.9993144
157 2.843545 0.9990903 0.9988222 0.9993067
158 2.846426 0.9990848 0.9988153 0.9993022
159 2.849615 0.9990786 0.9988078 0.9992972
160 2.849916 0.9990781 0.9988070 0.9992967
161 2.850515 0.9990769 0.9988056 0.9992957
162 2.855456 0.9990673 0.9987938 0.9992879
163 2.860745 0.9990569 0.9987810 0.9992794
164 2.861298 0.9990558 0.9987797 0.9992785
165 2.861578 0.9990553 0.9987790 0.9992781
166 2.867275 0.9990440 0.9987651 0.9992688
167 2.878310 0.9990218 0.9987379 0.9992507
168 2.880209 0.9990180 0.9987332 0.9992475
169 2.882143 0.9990140 0.9987284 0.9992443
170 2.884794 0.9990086 0.9987218 0.9992399
171 2.887320 0.9990034 0.9987154 0.9992356
172 2.892455 0.9989928 0.9987024 0.9992270
173 2.893572 0.9989905 0.9986996 0.9992251
174 2.894196 0.9989892 0.9986980 0.9992240
175 2.895602 0.9989863 0.9986944 0.9992216
176 2.899360 0.9989785 0.9986848 0.9992152
177 2.899634 0.9989779 0.9986841 0.9992147
178 2.904130 0.9989684 0.9986726 0.9992069
179 2.912307 0.9989511 0.9986514 0.9991927
180 2.914415 0.9989466 0.9986459 0.9991890
181 2.915910 0.9989434 0.9986420 0.9991863
182 2.916738 0.9989416 0.9986398 0.9991848
183 2.917496 0.9989400 0.9986378 0.9991835
184 2.919416 0.9989358 0.9986327 0.9991801
185 2.919509 0.9989356 0.9986325 0.9991799
186 2.920203 0.9989341 0.9986307 0.9991787
187 2.922817 0.9989285 0.9986238 0.9991740
188 2.923268 0.9989275 0.9986226 0.9991732
189 2.924615 0.9989246 0.9986190 0.9991708
190 2.926631 0.9989202 0.9986136 0.9991672
191 2.933201 0.9989058 0.9985961 0.9991553
192 2.935138 0.9989015 0.9985909 0.9991518
193 2.939362 0.9988922 0.9985794 0.9991443
194 2.940664 0.9988893 0.9985759 0.9991419
195 2.940838 0.9988889 0.9985754 0.9991416
196 2.943089 0.9988838 0.9985693 0.9991376
197 2.944174 0.9988814 0.9985664 0.9991356
198 2.945586 0.9988782 0.9985625 0.9991330
199 2.948254 0.9988722 0.9985552 0.9991282
200 2.948697 0.9988713 0.9985540 0.9991274
201 2.953129 0.9988612 0.9985418 0.9991193
202 2.958023 0.9988501 0.9985282 0.9991103
203 2.959884 0.9988458 0.9985230 0.9991068
204 2.962318 0.9988402 0.9985162 0.9991023
205 2.962662 0.9988394 0.9985153 0.9991016
206 2.962920 0.9988388 0.9985145 0.9991012
207 2.963322 0.9988379 0.9985134 0.9991004
208 2.963500 0.9988375 0.9985129 0.9991001
209 2.970888 0.9988204 0.9984921 0.9990862
210 2.972377 0.9988169 0.9984879 0.9990834
211 2.975185 0.9988103 0.9984799 0.9990781
212 2.978349 0.9988029 0.9984709 0.9990721
213 2.978764 0.9988019 0.9984697 0.9990713
214 2.978936 0.9988015 0.9984692 0.9990709
215 2.987755 0.9987806 0.9984438 0.9990540
216 2.991362 0.9987720 0.9984333 0.9990470
217 2.992996 0.9987680 0.9984285 0.9990438
218 2.997160 0.9987580 0.9984164 0.9990356
219 3.006293 0.9987357 0.9983894 0.9990175
220 3.007404 0.9987330 0.9983861 0.9990152
221 3.010625 0.9987251 0.9983765 0.9990087
222 3.012695 0.9987199 0.9983703 0.9990045
223 3.014426 0.9987156 0.9983651 0.9990009
224 3.019141 0.9987039 0.9983509 0.9989912
225 3.025884 0.9986870 0.9983305 0.9989772
226 3.026308 0.9986859 0.9983292 0.9989763
227 3.033249 0.9986683 0.9983081 0.9989618
228 3.035086 0.9986636 0.9983025 0.9989579
229 3.035713 0.9986620 0.9983006 0.9989566
230 3.040225 0.9986504 0.9982867 0.9989470
231 3.041603 0.9986469 0.9982824 0.9989440
232 3.043372 0.9986423 0.9982770 0.9989402
233 3.043786 0.9986412 0.9982757 0.9989394
234 3.044049 0.9986405 0.9982749 0.9989388
235 3.044538 0.9986393 0.9982734 0.9989377
236 3.046348 0.9986346 0.9982678 0.9989339
237 3.047605 0.9986313 0.9982639 0.9989311
238 3.049774 0.9986257 0.9982571 0.9989265
239 3.051992 0.9986199 0.9982502 0.9989216
240 3.061107 0.9985958 0.9982215 0.9989017
241 3.062563 0.9985920 0.9982169 0.9988985
242 3.062747 0.9985915 0.9982163 0.9988981
243 3.063896 0.9985884 0.9982127 0.9988956
244 3.067133 0.9985798 0.9982024 0.9988884
245 3.070047 0.9985720 0.9981930 0.9988819
246 3.072123 0.9985664 0.9981864 0.9988773
247 3.074887 0.9985589 0.9981775 0.9988711
248 3.081791 0.9985402 0.9981552 0.9988555
249 3.087934 0.9985233 0.9981351 0.9988415
250 3.092999 0.9985094 0.9981185 0.9988298
 [ reached 'max' / getOption("max.print") -- omitted 9338 rows ]
